Entity	Entity GL	Conso GL	Account Name
ACG	    61210045	61210045	ค่าขนส่งอื่น
ACG	    61210046	61210046	ค่าขนส่ง-บริหาร
ACG	    61210050	61210050	หนี้สงสัยจะสูญ-บริหาร
ACG	    61210051	61210051	หนี้สูญ-บริหาร
ACG	    61210054	61210054	ค่าใช้จ่ายอื่น-บริหาร
ACG	    61210057	61210057	ค่ารับรอง (บวกกลับ)-บริหาร
ACG	    61210058	61210058	ค่าใช้จ่ายที่ไม่ใช่ค่ารับอรง (บวกกลับ)-บริหาร
ACG	    61210061	61210061	ดอกเบี้ยจ่ายสัญาเช่า-บริการ
ACG	    61210066	61210066	ค่าใช้จ่าย-นักลงทุนสัมพันธ์
ACG	    61210067	61210067	ค่าใช้จ่าย-การจัดประชุมบริษัท
ACG	    61210068	61210068	ค่าใช้จ่าย-ระบบสารสนเทศ
ACG	    61210070	61210070	ค่าใช้จ่าย-ศูนย์บริการ ทำบุญ
ACG	    61210071	61210071	ค่าใช้จ่าย-ความเสียหายระหว่างงานซ่อม
ACG	    61210074	61210074	ค่าประชาสัมพันธ์-นักลงทุนสัมพันธ์
ACG	    51310044	51310044	ดอกเบี้ยจ่ายสัญาเช่า-บริการ
ACG	    61110027	61110027	ดอกเบี้ยจ่ายสัญาเช่า-ขาย
ACG	    81110010	81110010	ดอกเบี้ยจ่ายเงินเบิกเกินบัญชีธนาคาร
ACG	    81110011	81110011	ดอกเบี้ยจ่ายตั๋วเงินจ่ายธนาคาร
ACG	    81110012	81110012	ดอกเบี้ยจ่ายเงินกู้ยืมระยะยาวธนาคาร
ACG	    81110013	81110013	ดอกเบี้ยจ่ายอื่น
ACG	    90000000	90000000	ภาษีเงินได้นิติบุคคล
ACG	    90000020	90000020	ค่าใช้จ่ายภาษีเงินได้รอตัดบัญชี
ACG	    61110013	61110013	ค่าโฆษณา
